D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_20_956.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_20_956.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_20_956.jpg, 0, 0, 0, 7.857531E-05
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_21_060.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_21_060.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_21_060.jpg, 0, 0, 0, 7.763629E-05
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_21_164.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_21_164.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_21_164.jpg, -0.0795297, 0, 0, 8.072739E-05
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_21_266.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_21_266.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_21_266.jpg, -0.3836331, 0, 0, 9.118541E-05
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_21_368.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_21_368.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_21_368.jpg, -0.6264048, 0, 0, 9.95036E-05
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_21_470.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_21_470.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_21_470.jpg, -0.333995, 0, 0, 8.980554E-05
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_21_574.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_21_574.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_21_574.jpg, -0.02782253, 0.0320526, 0, 0.0153789
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_21_679.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_21_679.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_21_679.jpg, 0, 0.3260085, 0, 0.2482612
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_21_782.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_21_782.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_21_782.jpg, 0, 0.6235678, 0, 0.8670121
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_21_886.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_21_886.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_21_886.jpg, 0, 0.9865852, 0, 2.03106
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_21_986.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_21_986.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_21_986.jpg, 0, 1, 0, 3.214418
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_22_088.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_22_088.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_22_088.jpg, -0.3052753, 1, 0, 4.374515
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_22_191.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_22_191.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_22_191.jpg, -0.2764021, 1, 0, 5.520795
D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\center_2022_12_08_04_43_22_295.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\left_2022_12_08_04_43_22_295.jpg, D:\Ph.D\SelfDrivingCar\SelfDrivingData\IMG\right_2022_12_08_04_43_22_295.jpg, 0, 1, 0, 6.668971
